"month","day","year"
10,15,1983
10,15,1983
10,15,1983
10,15,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
12,8,1983
12,8,1983
12,8,1983
12,8,1983
12,8,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
2,4,1984
2,4,1984
2,4,1984
2,4,1984
2,4,1984
2,5,1984
2,5,1984
2,5,1984
3,12,1984
3,12,1984
3,12,1984
3,12,1984
3,12,1984
3,13,1984
3,13,1984
3,13,1984
4,9,1984
4,9,1984
4,9,1984
4,9,1984
4,9,1984
4,10,1984
4,10,1984
4,10,1984
5,12,1984
5,12,1984
5,13,1984
5,13,1984
5,13,1984
5,28,1984
7,31,1984
8,1,1984
9,30,1984
10,21,1984
12,31,1984
1,20,1985
2,17,1985
2,17,1985
3,17,1985
3,17,1985
4,20,1985
4,20,1985
4,20,1985
4,20,1985
4,21,1985
4,21,1985
4,21,1985
4,21,1985
4,21,1985
5,24,1985
5,24,1985
5,24,1985
6,16,1985
6,16,1985
6,16,1985
6,16,1985
7,24,1985
7,24,1985
7,24,1985
9,22,1985
9,22,1985
10,13,1985
10,13,1985
10,13,1985
11,16,1985
11,17,1985
11,17,1985
11,17,1985
11,17,1985
12,7,1985
12,8,1985
12,8,1985
12,8,1985
12,8,1985
3,8,1986
3,8,1986
3,8,1986
3,9,1986
3,9,1986
3,9,1986
3,9,1986
3,9,1986
4,12,1986
4,12,1986
4,13,1986
4,13,1986
4,13,1986
4,13,1986
5,10,1986
5,11,1986
5,11,1986
5,11,1986
5,11,1986
6,4,1986
6,5,1986
6,5,1986
7,3,1986
7,3,1986
7,4,1986
7,4,1986
7,4,1986
8,9,1986
8,9,1986
8,10,1986
8,10,1986
9,7,1986
9,7,1986
9,7,1986
9,7,1986
9,7,1986
10,5,1986
10,5,1986
10,5,1986
11,16,1986
11,16,1986
11,16,1986
11,16,1986
12,15,1986
12,15,1986
12,15,1986
12,15,1986
2,1,1987
2,1,1987
2,1,1987
2,1,1987
3,2,1987
3,2,1987
3,2,1987
3,2,1987
3,2,1987
4,4,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,25,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
5,28,1987
5,28,1987
5,28,1987
5,28,1987
5,28,1987
6,30,1987
6,30,1987
7,1,1987
7,1,1987
7,1,1987
7,1,1987
7,1,1987
7,26,1987
7,26,1987
7,26,1987
7,26,1987
8,26,1987
8,26,1987
9,27,1987
9,27,1987
9,27,1987
9,27,1987
10,25,1987
10,25,1987
10,25,1987
10,25,1987
11,22,1987
11,22,1987
11,22,1987
1,24,1988
1,24,1988
1,24,1988
2,21,1988
2,22,1988
2,22,1988
3,21,1988
3,21,1988
4,17,1988
4,18,1988
4,19,1988
4,19,1988
5,14,1988
5,15,1988
5,15,1988
6,11,1988
6,12,1988
6,12,1988
7,15,1988
7,15,1988
8,10,1988
8,10,1988
9,12,1988
10,8,1988
10,9,1988
11,5,1988
11,6,1988
12,13,1988
12,14,1988
12,14,1988
1,10,1989
1,11,1989
1,11,1989
2,4,1989
2,5,1989
3,12,1989
3,14,1989
3,14,1989
4,1,1989
4,1,1989
4,2,1989
5,9,1989
5,11,1989
6,3,1989
6,4,1989
7,3,1989
7,4,1989
7,30,1989
10,8,1989
11,5,1989
12,5,1989
1,7,1990
1,30,1990
2,25,1990
3,29,1990
3,30,1990
4,26,1990
5,25,1990
6,21,1990
6,22,1990
7,22,1990
8,17,1990
5,31,1992
7,4,1992
8,30,1992
9,27,1992
10,19,1992
12,22,1992
1,25,1993
2,26,1993
3,18,1993
4,23,1993
5,22,1993
6,18,1993
9,16,1993
10,15,1993
11,13,1993
12,14,1993
3,11,1994
4,10,1994
8,17,1994
9,6,1994
10,12,1994
3,1,1998
3,1,1998
10,24,1998
4,17,1999
5,15,1999
6,12,1999
